,cause,age,Year,valprevnumberboth,valdeathsnumberboth,valprevrateboth,valdeathsrateboth,valprevpercentboth,valdeathspercentboth,valprevnumberfemale,valdeathsnumberfemale,valprevratefemale,valdeathsratefemale,valprevpercentfemale,valdeathspercentfemale,valprevnumbermale,valdeathsnumbermale,valprevratemale,valdeathsratemale,valprevpercentmale,valdeathspercentmale,is_projection
10,Cardiovascular diseases,0-14 years,2011,11338008.3946,74677.0729,131788.7305,674.4923,1.4586999999999999,3.0011,5311261.0627,34736.243,128044.946,653.1442,1.3938,3.1984,6026747.332,39940.8297,135368.9402,695.3528,1.5244,2.8362,False
11,Cardiovascular diseases,0-14 years,2012,11511127.9275,73682.9266,131659.4969,652.2435,1.4604,3.0103,5393425.8091,34170.471,127985.0227,629.4561,1.3957,3.189,6117702.1195,39512.4551,135170.1393,674.4228,1.5255,2.8602,False
12,Cardiovascular diseases,0-14 years,2013,11692354.5028,72817.731,131584.3618,633.167,1.4622,3.0095,5479881.2525,33762.7168,127989.2279,608.8108,1.3977,3.1762,6212473.2507,39055.015100000004,135016.407,656.8103,1.5277,2.8696,False
13,Cardiovascular diseases,0-14 years,2014,11869941.6547,71340.41070000001,131586.2919,616.4401,1.4657,3.0004,5565129.2136,33057.557,128076.5477,592.1405,1.4015,3.1702,6304812.4425,38282.8541,134934.3455,640.0126,1.5298,2.8585,False
14,Cardiovascular diseases,0-14 years,2015,12031068.6748,70381.5644,131686.3743,601.8641,1.4693,3.0012,5643094.7773,32688.0281,128260.595,580.4766,1.4046,3.1798,6387973.8989,37693.536,134953.0309,622.642,1.5334,2.8509,False
15,Cardiovascular diseases,0-14 years,2016,12150502.463,68105.4605,131937.2619,585.7271,1.4732,3.0041,5702954.7046,31683.3415,128644.0624,564.8388,1.4105,3.1858,6447547.7584,36422.118800000004,135077.9725,606.0475,1.5368,2.8515,False
16,Cardiovascular diseases,0-14 years,2017,12237040.6531,65213.0871,132348.682,563.9186,1.4801,3.0073,5748834.1927000005,30203.8114,129247.6341,542.9849,1.4181,3.1884,6488206.4607,35009.2756,135307.8114,584.299,1.5414,2.8535,False
17,Cardiovascular diseases,0-14 years,2018,12325033.7685,62203.727,132867.686,535.237,1.4878,3.0246,5795328.483,28809.0422,129955.5193,514.4123,1.4273,3.2024,6529705.2858,33394.685,135648.3879,555.5159,1.5485,2.8737,False
18,Cardiovascular diseases,0-14 years,2019,12441900.8036,59536.6932,133423.9824,511.5585,1.4958,3.0197,5853687.8466,27490.9296,130632.2513,492.1785,1.436,3.2081,6588212.956,32045.7631,136091.5089,530.4627,1.5553,2.8603,False
19,Cardiovascular diseases,0-14 years,2020,12559917.7771,54688.3309,133922.7837,501.8241,1.4996,2.9604,5910438.1255,25000.6995,131191.8467,489.1391,1.4404,3.1184,6649479.6519,29687.6319,136534.0089,514.6086,1.5594,2.8224,False
20,Cardiovascular diseases,0-14 years,2021,12680870.5813,51664.2144,134685.7345,477.933,1.5084,3.0104,5987267.8338,23517.9085,132267.6055,465.3273,1.4527,3.1757,6693602.7462,28146.3055,136996.9852,490.6467,1.5651,2.8661,False
21,Cardiovascular diseases,0-14 years,2022,12507082.584248515,55536.295736520995,134234.31630854003,495.31108510018584,1.5042971531627138,3.0128949172926296,5889684.443132695,25563.74180276367,131602.69413471618,479.94983097713794,1.4460084326511016,3.1953973684183707,6617390.411900195,29972.473381273194,136750.8684576306,510.89692697168823,1.5625922111801709,2.8523864285714287,True
22,Cardiovascular diseases,0-14 years,2023,12633836.237475703,44761.397251262206,136455.5094645532,455.9487223349023,1.5268760908452048,2.9870833301420094,5960752.928006445,20370.72744338379,134210.0315807245,451.97600684139456,1.4722432621021335,3.152979760758629,6673063.62616082,24390.4656007312,138609.27872361938,462.054631551938,1.5823183685982878,2.8275400000000004,True
23,Cardiovascular diseases,0-14 years,2024,12645857.628393672,35806.56634814209,138757.49355192872,421.03738983439206,1.5504636448525453,3.0018088319983347,5978140.112847773,16168.592003564452,136897.7213108795,425.6489125000076,1.499596404319727,3.171624178717479,6667690.079478399,19637.689367291263,140548.9925988269,420.3843164270354,1.6024239999642502,2.8296178571428574,True
24,Cardiovascular diseases,0-14 years,2025,12586008.589355469,26754.69334411621,141150.63648986816,392.61498264968395,1.5739963015075773,3.0040220351240805,5956912.480224609,11935.476547241211,139612.87965774536,406.9899775076192,1.526286164560588,3.1758728491067814,6629063.261474609,14818.875389099121,142641.90837860107,384.26185062527657,1.6230416367179714,2.8213857142857144,True
25,Cardiovascular diseases,0-14 years,2026,12495119.476074219,18577.093795776367,143381.8366394043,369.91693268716335,1.5953004395123571,3.0080223751042467,5920483.549560547,8108.743057250977,142125.54370498657,393.2982911069412,1.5505020185664762,3.1819042764886944,6574600.710693359,10467.984535217285,144611.01917266846,354.4656458199024,1.6416946167009883,2.817207142857143,True
26,Cardiovascular diseases,0-14 years,2027,12366779.979980469,9451.640182495117,145922.2091369629,346.5526102036238,1.6192076375009492,3.0128552777161985,5866646.584716797,3843.6643829345703,144970.07194900513,380.16514357482083,1.577629175997572,3.189265591831372,6500095.810302734,5607.5847091674805,146868.58672332764,323.06951639056206,1.6626725635142066,2.813028571428571,True
27,Cardiovascular diseases,0-14 years,2028,12198470.128417969,-681.8343963623047,148790.45149230957,322.4531200379133,1.6458757361397147,3.018520742959936,5794209.042724609,-887.8959655761719,148166.36560440063,367.5905349117238,1.607842135039391,3.1979567951348145,6404221.128662109,205.64550018310547,149432.20523834229,289.9542085826397,1.6861179902334698,2.8088499999999996,True
28,Cardiovascular diseases,0-14 years,2029,11987669.948730469,-11883.496597290039,152005.26113891602,297.54956679046154,1.6754625753965229,3.025018770835686,5701978.381591797,-6114.0743408203125,151734.32583999634,355.5744651174173,1.6413153936446179,3.207977886399476,6285649.231201172,-5769.863410949707,152319.46895599365,255.0004685819149,1.7121734095853753,2.804671428571428,True
29,Cardiovascular diseases,0-14 years,2030,11731859.456542969,-24213.51335144043,155585.33561706543,271.77305518090725,1.7081259960541502,3.032349361343222,5588762.058349609,-11863.007263183594,155693.85390090942,344.1169341923669,1.6782234501151834,3.219328865625357,6143052.686279297,-12350.972373962402,155547.97214508057,218.08904239535332,1.7409813345293514,2.8004928571428565,True
30,Cardiovascular diseases,15-49 years,2001,43266060.6534,478811.57159999997,400250.553,3754.7075,4.0465,21.152,22437543.2656,185359.339,411411.2325,2848.3649,4.1313,22.335,20828517.388100002,293452.23350000003,388598.7947,4644.3111,3.9551,20.8154,False
31,Cardiovascular diseases,15-49 years,2002,44139512.217,481942.4018,400456.5197,3698.6212,4.0498,21.044,22901454.308,185823.3538,412037.8646,2803.8119,4.138,22.1564,21238057.9087,296119.0474,388402.8498,4574.3272,3.9537999999999998,20.7404,False
32,Cardiovascular diseases,15-49 years,2003,45005176.9529,484142.5531,400701.5502,3654.2534,4.0534,21.086,23360399.6161,184893.5196,412753.1343,2764.2452,4.1468,22.0938,21644777.337,299249.0325,388214.7754,4522.1338,3.9536,20.8501,False
33,Cardiovascular diseases,15-49 years,2004,45834803.7579,487832.6307,400923.2885,3619.4163,4.0559,20.9236,23797463.1531,183267.264,413387.6825,2720.7578,4.1527,21.7728,22037340.6042,304565.3665,388056.3133,4493.6629,3.9541,20.8181,False
34,Cardiovascular diseases,15-49 years,2005,46589863.543800004,492740.8102,401071.3843,3613.7055,4.0588,21.2651,24190467.0643,182444.33179999999,413807.9376,2683.3585,4.1573,22.0842,22399396.4793,310296.4782,387952.9172,4516.7321,3.9545,21.1488,False
35,Cardiovascular diseases,15-49 years,2006,47312931.178100005,488792.6315,401255.648,3572.0831,4.0613,21.2173,24564781.5516,179755.4458,414220.3914,2625.1514,4.1613,22.0019,22748149.6273,309037.1874,387927.7923,4490.4092,3.9551,21.1215,False
36,Cardiovascular diseases,15-49 years,2007,48040901.526999995,485835.6867,401559.8667,3529.9254,4.0659,21.3738,24948484.641,176563.1892,414836.4269,2578.339,4.1684,22.0762,23092416.8871,309272.4964,387947.3719,4451.9236,3.9582,21.3233,False
37,Cardiovascular diseases,15-49 years,2008,48770382.314500004,489257.77379999997,401925.4821,3476.7105,4.0721,21.2486,25334796.4346,176149.5684,415571.2678,2525.67,4.1752,21.8373,23435585.88,313108.2047,387984.1168,4397.5526,3.9604,21.258,False
38,Cardiovascular diseases,15-49 years,2009,49469158.2297,486895.6945,402349.5953,3412.4332,4.0767,21.2452,25705407.2656,175505.6832,416352.467,2474.6957,4.1848,21.7187,23763750.9638,311390.0115,388090.9257,4320.8663,3.9622,21.2996,False
39,Cardiovascular diseases,15-49 years,2010,50073164.4226,483235.76800000004,402798.8845,3363.9004,4.0825,21.4739,26026930.9943,173078.5409,417052.6505,2431.2389,4.1927,21.8191,24046233.4296,310157.2274,388300.1452,4267.4346,3.9663,21.5781,False
40,Cardiovascular diseases,15-49 years,2011,50600077.3456,470668.94310000003,403176.7487,3310.9977,4.0863,21.2133,26300005.4072,168450.1604,417619.9842,2389.0623,4.1981,21.5988,24300071.938,302218.782,388490.9019,4203.9754,3.9709,21.3004,False
41,Cardiovascular diseases,15-49 years,2012,51116510.3504,466882.3973,403493.0347,3266.6057,4.091,21.2199,26560670.436300002,168266.58179999999,418145.0144,2349.0548,4.2027,21.4935,24555839.914,298615.8163,388620.3592,4154.7155,3.9728,21.3361,False
42,Cardiovascular diseases,15-49 years,2013,51641394.4486,467267.0994,403842.2753,3241.7737,4.0956,21.4022,26821557.661,168843.33550000002,418692.2456,2315.4146,4.2089,21.4639,24819836.7885,298423.7629,388812.3101,4137.1534,3.9765,21.5859,False
43,Cardiovascular diseases,15-49 years,2014,52189750.481,464248.1615,404301.9749,3231.826,4.1019,21.3208,27094716.2727,165596.475,419329.382,2302.3227,4.2158999999999995,21.3814,25095034.2078,298651.6866,389151.2395,4129.5082,3.9822,21.4924,False
44,Cardiovascular diseases,15-49 years,2015,52780296.0721,458129.4484,404941.03,3215.6911,4.1093,21.4311,27394239.1623,163001.9014,420118.5375,2286.9201,4.2244,21.3813,25386056.9109,295127.5472,389704.3487,4111.7485,3.9899,21.648,False
45,Cardiovascular diseases,15-49 years,2016,53411946.2237,458880.4243,405902.3877,3189.9371,4.1199,21.5891,27736962.130400002,163691.3698,421311.1237,2260.7886,4.2367,21.4671,25674984.0946,295189.0553,390482.3343,4085.3648,3.9996,21.8254,False
46,Cardiovascular diseases,15-49 years,2017,54075678.3127,457707.5797,407127.067,3156.703,4.1332,21.6807,28116106.0776,161793.3253,422851.9141,2227.4453,4.2528,21.42,25959572.2346,295914.2539,391405.7642,4051.141,4.0102,21.9508,False
47,Cardiovascular diseases,15-49 years,2018,54756617.5943,453632.1272,408357.3282,3141.4485,4.1467,21.8998,28500910.2004,157985.1213,424347.5125,2198.2131,4.2667,21.6079,26255707.395,295647.00560000003,392365.2407,4048.2682,4.0226,22.1662,False
48,Cardiovascular diseases,15-49 years,2019,55432757.414900005,450886.6961,409360.8608,3129.7873,4.1587,22.0547,28857356.349,156407.94580000002,425411.3831,2182.2698,4.2787,21.7483,26575401.0645,294478.7499,393282.1022,4039.407,4.0338,22.3257,False
49,Cardiovascular diseases,15-49 years,2020,56012990.4926,448127.5799,409985.7191,3065.7488,4.1641,20.4917,29098628.8873,157035.81590000002,425052.2614,2169.4587,4.2751,20.1517,26914361.605100002,291091.7647,394853.7286,3926.7231,4.0482,20.6922,False
50,Cardiovascular diseases,15-49 years,2021,56944025.0395,453054.8443,411797.4109,3049.8773,4.1829,19.3925,29612888.3695,158054.2462,427092.0418,2137.3696,4.2953,18.8855,27331136.6706,295000.5977,396373.8314,3925.1761,4.0641,19.6267,False
51,Cardiovascular diseases,15-49 years,2022,56114228.44043,452121.2106128955,410547.8819518609,3101.525130381737,4.170827905456859,21.31585051626056,29208573.063440625,156456.79394705445,426355.79251320445,2171.4232995726916,4.288204120326936,20.945337325734496,26905700.57464219,295664.3758760449,394684.0949765463,3999.051840629552,4.048191223527446,21.57164492295474,True
52,Cardiovascular diseases,15-49 years,2023,57813997.37863937,455862.9868270557,413513.77779626887,3031.219323986157,4.200924045284239,19.37284526252955,30079054.31052594,156715.33647608518,428541.4436392116,2150.615354063735,4.310229666362605,18.873330095047354,27735058.192076873,299147.5473116113,398346.9551856442,3893.283186961319,4.085365511833553,19.573273741241394,True
53,Cardiovascular diseases,15-49 years,2024,59274299.702387504,463863.39169013186,416389.84021757875,3003.80569710887,4.230535787693246,18.198871203131976,30867443.47112969,157028.4524756824,431163.3728791692,2142.415704593263,4.336584174618679,17.60006434071362,28407016.68444281,306834.7951642871,401391.6657894217,3860.9913711395307,4.116889041880171,18.379522134652436,True
54,Cardiovascular diseases,15-49 years,2025,60552744.17578125,472821.1453552246,418949.33402633667,2982.3770269318484,4.256574189479579,17.101129041984677,31554359.943359375,157606.34928131104,433301.57583904266,2147.5874216854572,4.358090263005579,16.45811203494668,28998576.337890625,315214.6234741211,404282.081949234,3829.6136189203244,4.146247148964903,17.244147600606084,True
55,Cardiovascular diseases,15-49 years,2026,61650764.43359375,482609.43368530273,421182.2890663147,2967.4921675575897,4.279021604466834,15.988517494872212,32145276.71484375,158679.72440338135,435099.66070842743,2156.535127311945,4.376093770377338,15.319090534001589,29505693.669921875,323929.5238647461,406853.9078464508,3806.2134486217983,4.171865258002072,16.09366207011044,True
56,Cardiovascular diseases,15-49 years,2027,62833611.65234375,494590.06649780273,423607.7897453308,2954.032051997725,4.303250114040566,14.718942688778043,32783064.4765625,160160.71533966064,437015.35233974457,2169.9818773567677,4.395233486575307,14.031185295432806,30050766.984375,334429.15313720703,409675.8991947174,3783.659223703202,4.199702514146338,14.77981604076922,True
57,Cardiovascular diseases,15-49 years,2028,64107617.59765625,508923.90438842773,426234.6505393982,2941.9966802517883,4.329338934170664,13.282936224713922,33471198.91015625,162075.43674468994,439054.0054540634,2188.0900484621525,4.415561070811236,12.585407946258783,30636652.36328125,346848.25689697266,412759.27456092834,3761.950944164768,4.229852613047115,13.292935298755765,True
58,Cardiovascular diseases,15-49 years,2029,65479114.02734375,525771.8074645996,429071.68591690063,2931.38605231978,4.35736728082702,11.671029711142182,34213155.701171875,164450.0032119751,441220.9747877121,2211.0220177471638,4.437128182325978,10.972770120948553,31266205.884765625,361321.5807495117,416115.2524662018,3741.0886100064963,4.262409250703058,11.623345660045743,True
59,Cardiovascular diseases,15-49 years,2030,66954432.7109375,545294.6366882324,432127.7103691101,2922.2001682021655,4.387414370154147,9.873754711821675,35012410.533203125,167310.52933502197,443521.61506938934,2238.9401625692844,4.459986480505904,9.184283468872309,31942283.630859375,377983.8707885742,419755.05146980286,3721.07222122862,4.297466122938204,9.76137294061482,True
60,Cardiovascular diseases,50-74 years,2001,192499091.721,6353825.0477,4182979.3824,156241.6276,41.8609,75.3525,89723986.11569999,2635651.7553,3753316.4581,128742.7518,37.5477,75.097,102775105.6033,3718173.292,4631051.9589,186745.5146,46.3629,75.2676,False
61,Cardiovascular diseases,50-74 years,2002,196846553.7454,6438460.9143,4165866.8063,153244.2153,41.6904,74.7052,91711641.0517,2664573.9441,3739517.7699,125908.976,37.4086,74.3333,105134912.6938,3773886.9712,4610041.8912,183591.6349,46.1525,74.6966,False
62,Cardiovascular diseases,50-74 years,2003,201334813.4917,6511765.6181,4147887.7083,150291.5396,41.511,74.0677,93772495.4555,2683485.028,3724722.4421,123258.1575,37.2614,73.5342,107562318.0368,3828280.5895,4588226.4511,180342.768,45.9351,74.173,False
63,Cardiovascular diseases,50-74 years,2004,206077185.1095,6490537.000200001,4127736.994,146633.3889,41.3104,73.3597,95929918.1963,2655194.9959,3707950.7502,119931.1401,37.0935,72.5788,110147266.9129,3835342.0043,4564357.2834,176406.5151,45.6979,73.6418,False
64,Cardiovascular diseases,50-74 years,2005,210855323.7106,6517976.5366,4107116.578,143702.163,41.1041,73.042,98101106.9722,2655691.5587999998,3689944.7011,117099.0906,36.914500000000004,72.1473,112754216.7394,3862284.9779,4541011.0548,173492.0414,45.4654,73.3987,False
65,Cardiovascular diseases,50-74 years,2006,215986810.152,6409577.0494,4090162.076,139676.7451,40.9349,72.5369,100416369.6307,2610376.2372,3674519.3534,113515.8419,36.7601,71.4445,115570440.5219,3799200.8123,4522305.2639,168949.5853,45.2787,73.0115,False
66,Cardiovascular diseases,50-74 years,2007,221612267.1218,6415696.023,4076996.9155,136381.6122,40.8038,72.211,102963307.6242,2594960.8662,3662944.4224,110530.254,36.6439,70.9225,118648959.49810001,3820735.157,4507480.4371,165329.0294,45.131,72.8249,False
67,Cardiovascular diseases,50-74 years,2008,227297961.2038,6480184.3882,4064903.1902,133128.6501,40.6834,71.6764,105520338.5273,2592334.8586,3651791.5557,107529.356,36.5332,70.225,121777622.676,3887849.5302,4494130.2026,161679.1918,44.9987,72.3977,False
68,Cardiovascular diseases,50-74 years,2009,233243927.7802,6487374.4771,4053404.037,129916.3706,40.5683,71.3583,108226808.1421,2585674.1554,3641894.616,104791.7297,36.4334,69.7304,125017119.6376,3901700.3212,4480823.0509,157805.048,44.8672,72.1953,False
69,Cardiovascular diseases,50-74 years,2010,239179725.91,6560516.1905000005,4042280.0197,126947.1893,40.4576,70.7574,110946653.7517,2598892.9056,3632040.8804,102231.6941,36.3357,68.9822,128233072.1582,3961623.2846,4468300.3021,154356.8133,44.7415,71.71,False
70,Cardiovascular diseases,50-74 years,2011,245449023.1174,6599278.9879,4033493.7556,124047.3285,40.3693,70.5012,113817980.2429,2607218.8438,3623630.2827,99694.4953,36.2513,68.57039999999999,131631042.8748,3992060.1444,4458912.9508,150982.2579,44.648,71.5567,False
71,Cardiovascular diseases,50-74 years,2012,252212667.7081,6662826.635600001,4026358.9184,121417.7497,40.2989,70.1896,116902636.8132,2634549.0643,3616821.0896,97379.3578,36.1832,68.121,135310030.89540002,4028277.5716999997,4451277.8467,147942.1451,44.573,71.3317,False
72,Cardiovascular diseases,50-74 years,2013,259393370.5312,6665653.4577,4021413.2526,118951.2081,40.2497,69.8535,120168013.5042,2627840.2844,3611213.0207,95056.9981,36.1278,67.6004,139225357.0291,4037813.1733,4446628.8318,145282.0904,44.5267,71.1251,False
73,Cardiovascular diseases,50-74 years,2014,267288842.329,6706710.4825,4018967.6983,117281.7072,40.2266,69.4351,123821421.3262,2634984.8722,3608283.9959,93481.1876,36.0986,67.0304,143467421.0039,4071725.6102,4444515.5279,143525.2513,44.5062,70.8098,False
74,Cardiovascular diseases,50-74 years,2015,275378305.3248,6839868.979599999,4020594.5123,115975.0793,40.2425,69.2911,127611946.4571,2687838.4801,3609258.8669,92255.3705,36.1089,66.7752,147766358.868,4152030.5,4446832.4952,142125.0426,44.529,70.7191,False
75,Cardiovascular diseases,50-74 years,2016,284376725.1691,6999483.0461,4033236.7297,114592.028,40.3692,69.1256,131997020.55770001,2750599.9809,3621348.1253,90915.3454,36.2296,66.495,152379704.6113,4248883.0638,4460042.0197,140720.7524,44.6618,70.6346,False
76,Cardiovascular diseases,50-74 years,2017,294383022.506,7110393.7999,4054493.5393,112989.9946,40.5816,68.9867,137009779.5383,2791205.662,3642930.5044,89430.7572,36.4455,66.1475,157373242.968,4319188.1385,4480896.0524,138963.726,44.8714,70.6393,False
77,Cardiovascular diseases,50-74 years,2018,304710967.2726,7327789.090000001,4078300.7963,112149.0306,40.8201,68.9762,142233567.8675,2880062.7775,3667219.6673,88442.1434,36.688,66.0171,162477399.4037,4447726.3126,4504060.6701,138289.4804,45.1032,70.7001,False
78,Cardiovascular diseases,50-74 years,2019,315227277.8688,7504934.740300001,4100539.9823,111385.941,41.0436,68.9436,147443571.4379,2947088.6554,3689554.417,87827.958,36.9121,65.8985,167783706.4315,4557846.0856,4526254.8444,137317.1316,45.3254,70.7402,False
79,Cardiovascular diseases,50-74 years,2020,324484025.8629,7651142.2937,4111667.4849,110315.4226,41.1537,60.7519,151886408.3641,3004782.2533,3698742.5651000002,86900.8396,37.0036,59.1764,172597617.4984,4646360.0397,4539883.5205,136061.4217,45.4621,61.5402,False
80,Cardiovascular diseases,50-74 years,2021,334552271.6203,7806667.3521,4138422.5333,109564.7367,41.4205,54.9343,157438171.0628,3083753.9532,3730002.4196,86830.1348,37.3163,54.1852,177114100.5579,4722913.3994,4562092.2939,134579.9846,45.6826,55.2506,False
81,Cardiovascular diseases,50-74 years,2022,324984763.77651936,7691994.559567422,4125313.692480605,111154.90419407959,41.29089513082847,64.61131383999108,152459460.1436394,3029126.529165742,3714784.3176080077,87676.05265718992,37.16433021209136,62.27237553317546,172525128.6562492,4662873.781868242,4550762.035824873,137039.50603296387,45.570289962711485,65.94423215080738,True
82,Cardiovascular diseases,50-74 years,2023,349543938.19910437,8184903.2214596085,4191509.4882068164,110986.78720480468,41.95172127839609,53.20356808830022,165106827.70415187,3244367.177625742,3781815.7340563666,87598.5040536145,37.8344007973279,52.78791481379986,184436664.81836763,4940550.693379726,4616698.303385107,136890.49816527343,46.22933331277326,53.26323049515247,True
83,Cardiovascular diseases,50-74 years,2024,369564239.8858581,8637744.654204141,4260758.486545332,112054.70529231447,42.643693108855935,45.72135437523603,175763731.97542062,3448314.222151055,3853822.056510781,88629.30158653687,38.554412100271435,46.553831004519466,193799886.77248922,5189450.848216368,4683483.342140244,138174.91130942627,46.896398016257436,44.98192614215374,True
84,Cardiovascular diseases,50-74 years,2025,387286214.45703125,9079409.898925781,4329269.16418457,113804.36094665527,43.328315182588995,38.63515605032444,185262883.08203125,3646675.1975097656,3924464.302734375,90132.63907623291,39.26069387514144,40.73510259389877,202022587.68066406,5432759.147705078,4750234.72076416,140400.14151000977,47.56336717214435,37.06675738096237,True
85,Cardiovascular diseases,50-74 years,2026,401801477.83203125,9463284.292480469,4390759.377563477,115711.47424316406,43.94264449831098,31.726090595126152,193179786.17578125,3821412.7678222656,3988398.4458007812,91823.70770263672,39.89986058045179,35.09355568885803,208620894.38964844,5641897.731201172,4809641.679260254,142746.0340423584,48.156772402115166,29.33144611120224,True
86,Cardiovascular diseases,50-74 years,2027,417022558.34765625,9883366.167480469,4459100.516479492,118070.69024658203,44.625370311550796,23.915632173419,201568746.12890625,4013837.1271972656,4059708.619873047,93918.32940673828,40.61274123843759,28.737219005823135,215452961.3076172,5869557.011962891,4875424.414489746,145634.8607788086,48.81379683222622,20.57313185930252,True
87,Cardiovascular diseases,50-74 years,2028,432971765.62890625,10341311.947753906,4534571.086791992,120899.99082946777,45.37927153613418,15.14891566336155,210447894.42578125,4224751.775634766,4138721.223876953,96432.41860961914,41.40259685460478,21.622051030397415,222522966.6044922,6116589.907470703,4947815.22845459,149089.45741271973,49.53675714042038,10.729917913675308,True
88,Cardiovascular diseases,50-74 years,2029,449671409.30078125,10838778.045410156,4617449.594848633,124217.35792541504,46.207127082161605,5.371075943112373,219835362.50390625,4454960.211669922,4225762.654785156,99381.88980865479,42.272688440047204,13.704010426998138,229835088.43066406,6383849.334716797,5027046.4236450195,153132.65951538086,50.327970013953745,-0.26009243726730347,True
89,Cardiovascular diseases,50-74 years,2030,467143798.97265625,11377420.874511719,4708014.546020508,128040.77339172363,47.11171586532146,-5.47275210916996,229749281.86328125,4705265.935791016,4321159.311279297,102782.65743255615,43.22627700585872,4.939055800437927,237393504.96191406,6672188.211669922,5113350.302185059,157787.30276489258,51.18975213076919,-12.458795845508575,True
90,Cardiovascular diseases,75+ years,2001,82123163.9455,6903385.515199999,10721062.2844,989247.2354,107.2135,95.3255,47502053.663499996,4086655.5965,10039483.4045,985977.3598,100.3968,100.7934,34621110.2815,2816729.9184,11650182.3294,1007485.7385,116.5049,88.5499,False
91,Cardiovascular diseases,75+ years,2002,84994226.3107,7111883.7988,10715357.5247,982146.7187,107.1564,95.091,48959421.0648,4198547.1417000005,10034244.8743,978043.8923,100.34440000000001,100.5577,36034805.2463,2913336.6576,11639940.0734,1002132.2652,116.4022,88.3296,False
92,Cardiovascular diseases,75+ years,2003,87963439.7089,7355304.0458,10710623.9385,972581.7179,107.1081,94.6125,50449332.6435,4305211.9526,10030113.259300001,967882.4381,100.3036,100.0269,37514107.0653,3050092.0927999998,11629322.4315,993573.1737,116.296,87.9151,False
93,Cardiovascular diseases,75+ years,2004,91046431.567,7471895.6347,10707474.7068,955555.2113,107.0773,93.9302,52024272.0647,4336193.9709,10027295.305,951643.9674,100.2749,99.3151,39022159.503299996,3135701.6631,11621455.4491,976302.9436,116.2173,87.2731,False
94,Cardiovascular diseases,75+ years,2005,94208696.1374,7623501.3065,10707595.7002,944924.2086,107.0781,93.6887,53633154.7996,4407090.8966,10026817.4263,941276.4071,100.2696,99.0129,40575541.338,3216410.4111,11619278.1268,967047.0808,116.1955,87.111,False
95,Cardiovascular diseases,75+ years,2006,97490671.4584,7608186.306,10711661.6731,932855.9675,107.1192,93.4316,55300808.3186,4386011.2258,10029249.9873,929675.1387,100.2943,98.7092,42189863.1396,3222175.0803,11622943.4355,954823.7521,116.232,86.9289,False
